"year";"region";"species";"fishing_technique";"totwghtlandg"
2016;"Adriatic Sea";"ANE";"DTS";0.212
2017;"Adriatic Sea";"ANE";"DTS";2.203
2018;"Adriatic Sea";"ANE";"DTS";0.278
2019;"Adriatic Sea";"ANE";"DTS";24.19
2020;"Adriatic Sea";"ANE";"DTS";0.025
2014;"Central Mediterranean";"ANE";"DTS";5.78273
2015;"Central Mediterranean";"ANE";"DTS";29.57276
2016;"Central Mediterranean";"ANE";"DTS";1.3116
2017;"Central Mediterranean";"ANE";"DTS";105.07132
2018;"Central Mediterranean";"ANE";"DTS";2.7696
2019;"Central Mediterranean";"ANE";"DTS";23.87356
2020;"Central Mediterranean";"ANE";"DTS";324.5699726809
2021;"Central Mediterranean";"ANE";"DTS";0.804
2016;"Eastern Mediterranean";"ANE";"DTS";515.247
2017;"Eastern Mediterranean";"ANE";"DTS";507.777
2018;"Eastern Mediterranean";"ANE";"DTS";658.593
2019;"Eastern Mediterranean";"ANE";"DTS";644.823
2020;"Eastern Mediterranean";"ANE";"DTS";486.554
2021;"Eastern Mediterranean";"ANE";"DTS";413.931
2013;"Western Mediterranean";"ANE";"DTS";494.878
2014;"Western Mediterranean";"ANE";"DTS";1718.609
2015;"Western Mediterranean";"ANE";"DTS";595.321
2016;"Western Mediterranean";"ANE";"DTS";1045.023
2017;"Western Mediterranean";"ANE";"DTS";826.785
2018;"Western Mediterranean";"ANE";"DTS";734.5785
2019;"Western Mediterranean";"ANE";"DTS";633.407
2020;"Western Mediterranean";"ANE";"DTS";636.4353545654
2021;"Western Mediterranean";"ANE";"DTS";443.183
2015;"Adriatic Sea";"ARS";"DTS";2.358
2016;"Adriatic Sea";"ARS";"DTS";26.2914
2017;"Adriatic Sea";"ARS";"DTS";31.55552
2018;"Adriatic Sea";"ARS";"DTS";33.929
2019;"Adriatic Sea";"ARS";"DTS";227.86698
2020;"Adriatic Sea";"ARS";"DTS";172.0082859514
2021;"Adriatic Sea";"ARS";"DTS";21702.366
2013;"Central Mediterranean";"ARS";"DTS";42.889
2014;"Central Mediterranean";"ARS";"DTS";6.587
2015;"Central Mediterranean";"ARS";"DTS";32.3802
2016;"Central Mediterranean";"ARS";"DTS";27.742
2017;"Central Mediterranean";"ARS";"DTS";580.48183
2018;"Central Mediterranean";"ARS";"DTS";43.08854
2019;"Central Mediterranean";"ARS";"DTS";180.46383
2020;"Central Mediterranean";"ARS";"DTS";777.471411154
2021;"Central Mediterranean";"ARS";"DTS";55833.65825
2016;"Eastern Mediterranean";"ARS";"DTS";56.06
2017;"Eastern Mediterranean";"ARS";"DTS";55.566
2018;"Eastern Mediterranean";"ARS";"DTS";31.212
2019;"Eastern Mediterranean";"ARS";"DTS";500.997
2020;"Eastern Mediterranean";"ARS";"DTS";38.637
2021;"Eastern Mediterranean";"ARS";"DTS";51796.685
2013;"Western Mediterranean";"ARS";"DTS";2.621
2014;"Western Mediterranean";"ARS";"DTS";15.469
2015;"Western Mediterranean";"ARS";"DTS";17.787
2016;"Western Mediterranean";"ARS";"DTS";38.656
2017;"Western Mediterranean";"ARS";"DTS";98.423
2018;"Western Mediterranean";"ARS";"DTS";7.492
