"HAUL","SPECIES","LON","LAT","KG","DEPTH"
6,"ARA",12.2135,36.882,804,538
7,"ARA",12.4138333333333,36.7623333333333,76,561.5
14,"ARA",13.3636666666667,36.1011666666667,243,680
15,"ARA",14.0015,36.5351666666667,103,675.5
18,"ARA",13.6040833333333,36.3929166666667,37,735.75
19,"ARA",13.8073333333333,36.7348333333333,48,784
21,"ARA",13.3935,35.8586666666667,303,729
25,"ARA",13.8255,36.8026666666667,140,746
26,"ARA",12.66,36.69575,60.5,577.75
27,"ARA",13.4481666666667,35.8521666666667,374,718.5
31,"ARA",13.4348333333333,35.9965,99,680.5
32,"ARA",12.7138333333333,37.2083333333333,282,697.25
33,"ARA",13.3625,36.0995,59,691.5
34,"ARA",13.2456666666667,36.1131666666667,67,674.5
35,"ARA",13.2241666666667,36.168,34,694
43,"ARA",13.9136666666667,36.5776666666667,54,589.5
51,"ARA",13.7953333333333,36.7331666666667,88,791
52,"ARA",13.53925,36.7481666666667,79,698.75
53,"ARA",13.8426666666667,36.8058333333333,37,752
56,"ARA",11.9275,37.8248333333333,3263,569
60,"ARA",11.558,37.7705,38,617
64,"ARA",11.9331666666667,37.8218333333333,78,550
72,"ARA",12.286,36.8296666666667,600,738
73,"ARA",12.8201666666667,36.7106666666667,73,689
75,"ARA",12.7261666666667,36.6688333333333,180,669.5
76,"ARA",12.6876666666667,36.6663333333333,554,659
77,"ARA",12.4528333333333,36.7461666666667,118,609
79,"ARA",11.7285,37.6096666666667,65,406
82,"ARA",11.558,37.7738333333333,38,623
85,"ARA",13.3103333333333,36.1091666666667,37,679.5
87,"ARA",12.763,36.7021666666667,66,619
90,"ARA",13.9571666666667,36.5688333333333,53,693
91,"ARA",12.2373333333333,36.8585,150,435.5
93,"ARA",12.6859166666667,36.8380833333333,399.5,650
94,"ARA",11.5103333333333,37.8015,307,624.5
95,"ARA",13.4031666666667,35.9955,24,659.5
96,"ARA",13.4295,35.9776666666667,61,664.5
97,"ARA",13.0653333333333,36.3095,413,778
98,"ARA",12.3825833333333,36.9889166666667,32,547
99,"ARA",12.41875,37.17425,497,604.25
100,"ARA",13.3268333333333,36.7295,1173,612
104,"ARA",12.7661666666667,36.7185,122,686
105,"ARA",12.7158333333333,36.6676666666667,924,674
106,"ARA",12.6796666666667,36.6643333333333,588,668
109,"ARA",12.6646666666667,36.6593333333333,479,665
110,"ARA",12.6823333333333,36.6633333333333,80,658.5
115,"ARA",12.698,36.6666666666667,83,683.5
116,"ARA",12.6888333333333,36.6635,448,649.5
117,"ARA",12.7813333333333,36.7128333333333,44,701.5
6,"ARS",12.8111666666667,36.9599166666667,452,569.5
7,"ARS",12.4138333333333,36.7623333333333,987,561.5
9,"ARS",12.697,36.7741666666667,1447,569
10,"ARS",13.0693333333333,36.2986666666667,21,787
11,"ARS",13.1811666666667,36.2443333333333,4824,603
12,"ARS",13.3191666666667,36.1635,1896,635
13,"ARS",13.411,36.5863333333333,625,591
14,"ARS",13.3636666666667,36.1011666666667,3716,680
15,"ARS",13.5954166666667,36.3348333333333,2377,675.75
16,"ARS",13.6756666666667,36.278,3161.5,625.75
17,"ARS",13.427,35.9638333333333,626,678.5
18,"ARS",13.37,36.3821666666667,3465.5,653.25
19,"ARS",13.3438333333333,36.3471666666667,1881,654.5
20,"ARS",13.4356111111111,36.467,277.333333333333,566.5
21,"ARS",13.5468333333333,36.37925,1154,704.75
22,"ARS",13.4537222222222,36.0345,987.666666666667,526.666666666667
23,"ARS",13.214375,36.7452083333333,992.75,542.5
24,"ARS",13.6465833333333,36.2015,657.5,527.75
25,"ARS",13.4381666666667,36.2505,655.5,530.75
26,"ARS",12.66,36.69575,3476,577.75
27,"ARS",13.397,35.7263333333333,2710,628.25
28,"ARS",13.4925833333333,36.4261666666667,851.5,652.75
29,"ARS",12.5291666666667,36.8763333333333,170.5,552.75
30,"ARS",12.945,36.8734444444444,1479.66666666667,569.166666666667
31,"ARS",12.9502222222222,36.8912222222222,548.666666666667,628.333333333333
32,"ARS",12.5164166666667,36.8578333333333,2229.5,609.75
33,"ARS",13.4058333333333,36.545,354,642.75
34,"ARS",13.2456666666667,36.1131666666667,196,674.5
35,"ARS",13.2399166666667,36.6405,327,622.25
36,"ARS",13.27175,36.6465833333333,298,622.75
37,"ARS",13.2751666666667,36.6413333333333,323.5,588.25
40,"ARS",13.6396666666667,36.7145,257,385
41,"ARS",13.7536666666667,36.8061666666667,155,707.5
43,"ARS",13.9136666666667,36.5776666666667,937,589.5
44,"ARS",13.9618333333333,36.5655,23,746
45,"ARS",14.239,36.5838333333333,255,608.5
49,"ARS",13.9073333333333,36.8841666666667,348,564.5
50,"ARS",13.365,36.6083333333333,1216,521
51,"ARS",13.0484166666667,36.8778333333333,1828,486
52,"ARS",13.291,36.7481666666667,2397,616.5
54,"ARS",13.9556666666667,36.854,784,638
55,"ARS",13.6350833333333,36.9651666666667,365.5,602.75
56,"ARS",12.65125,37.4441666666667,605.5,579.5
57,"ARS",13.5128333333333,37.0032777777778,352.666666666667,614.833333333333
58,"ARS",13.52975,36.9675833333333,410,636.25
59,"ARS",13.2948333333333,37.0956666666667,105,546
60,"ARS",11.558,37.7705,1046,617
61,"ARS",11.6478333333333,37.7393333333333,143,456
