"","SPECIES","LON","LAT","KG","DEPTH"
"1164","ARA",13.59,36.51,5,-420
"1165","ARS",13.59,36.51,121,-420
"1166","DPS",13.59,36.51,21,-420
"1167","NEP",13.59,36.51,7,-420
"1168","ARA",13.61,36.51,4,-329
"1169","ARS",13.61,36.51,156,-329
"1170","DPS",13.61,36.51,41,-329
"1171","NEP",13.61,36.51,4,-329
"1172","ARS",13.9,36.51,75,-442
"1173","DPS",13.9,36.51,20,-442
"1174","HKE",13.9,36.51,5,-442
"1175","ARS",13.95,36.51,80,-500
"1176","DPS",13.95,36.51,65,-500
"1177","ARS",13.98,36.51,136,-565
"1178","DPS",13.98,36.51,110,-565
"1179","ARS",14,36.51,358,-581
"1180","DPS",14,36.51,317,-581
"1181","NEP",14,36.51,120,-581
"1182","ARS",14.02,36.51,60,-616
"1183","DPS",14.02,36.51,60,-616
"1184","ARS",14.29,36.51,40,-531
"1185","DPS",14.29,36.51,20,-531
"1186","HKE",14.29,36.51,16,-531
"1187","ARS",14.3,36.51,221,-465
"1188","DPS",14.3,36.51,66,-465
"1189","HKE",14.3,36.51,34,-465
"1190","ARS",14.34,36.51,4,-354
"1191","HKE",14.34,36.51,8,-354
"1192","DPS",14.69,36.51,40,-128
"1193","HKE",14.69,36.51,20,-128
"1194","MUT",14.69,36.51,10,-128
"1195","MUT",15,36.51,25,-77
"1196","ARS",15.02,36.51,11,-77
"1197","DPS",15.02,36.51,50,-77
"1198","HKE",15.02,36.51,15,-77
"1199","MUT",15.03,36.51,50,-78
"1200","MUT",15.05,36.51,60,-80
"1201","MUT",15.07,36.51,10,-80
"1202","DPS",15.08,36.51,250,-80
"1203","HKE",15.08,36.51,15,-80
"1204","MUT",15.08,36.51,30,-80
"1205","HKE",15.1,36.51,30,-80
"1206","ARA",15.12,36.51,60,-80
"1207","ARS",15.12,36.51,60,-80
"1208","DPS",15.12,36.51,60,-80
"1209","HKE",15.12,36.51,20,-80
"1210","MUT",15.12,36.51,5,-80
"1211","DPS",15.14,36.51,125,-83
"1212","HKE",15.14,36.51,55,-83
"1213","MUT",15.14,36.51,10,-83
"1214","ARS",15.15,36.51,205,-86
"1215","DPS",15.15,36.51,295,-86
"1216","HKE",15.15,36.51,190,-86
"1217","DPS",15.19,36.51,200,-92
"1218","MUT",15.19,36.51,5,-92
"1219","ARS",15.2,36.51,1,-95
"1220","DPS",15.2,36.51,680,-95
"1221","HKE",15.2,36.51,95,-95
"1222","DPS",15.27,36.51,150,-100
"1223","HKE",15.27,36.51,20,-100
"1228","ARS",13.58,36.52,70,-420
"1229","NEP",13.58,36.52,16,-420
"1230","ARA",13.59,36.52,7,-420
"1231","ARS",13.59,36.52,61,-420
"1232","DPS",13.59,36.52,34,-420
"1233","ARS",13.73,36.52,48,-339
"1234","DPS",13.73,36.52,100,-339
"1235","NEP",13.73,36.52,24,-339
"1236","ARS",13.81,36.52,144,-331
"1237","DPS",13.81,36.52,72,-331
"1238","DPS",13.95,36.52,21,-500
"1239","NEP",13.95,36.52,21,-500
"1240","ARA",13.97,36.52,4,-534
"1241","ARS",13.97,36.52,676,-534
"1242","DPS",13.97,36.52,365,-534
"1243","HKE",13.97,36.52,58,-534
"1244","NEP",13.97,36.52,36,-534
"1245","ARA",13.98,36.52,12,-565
"1246","ARS",13.98,36.52,651,-565
"1247","DPS",13.98,36.52,461,-565
"1248","ARS",14,36.52,636,-581
"1249","DPS",14,36.52,108,-581
"1250","HKE",14,36.52,5,-581
"1251","MUT",14,36.52,10,-581
"1252","ARS",14.19,36.52,8,-732
"1253","DPS",14.19,36.52,16,-732
"1254","HKE",14.19,36.52,16,-732
"1255","NEP",14.19,36.52,4,-732
"1256","ARA",14.24,36.52,200,-766
"1257","ARS",14.24,36.52,212,-766
"1258","DPS",14.24,36.52,284,-766
"1259","HKE",14.24,36.52,10,-766
"1260","ARS",14.29,36.52,700,-531
"1261","DPS",14.29,36.52,299,-531
"1262","HKE",14.29,36.52,184,-531
"1263","MUT",14.29,36.52,30,-531
"1264","NEP",14.29,36.52,4,-531
"1265","ARS",14.3,36.52,91,-465
"1266","DPS",14.3,36.52,45,-465
"1267","HKE",14.3,36.52,44,-465
"1268","NEP",14.3,36.52,3,-465
"1269","DPS",14.32,36.52,38,-404
"1270","HKE",14.32,36.52,16,-404
"1271","NEP",14.32,36.52,5,-404
"1272","DPS",14.34,36.52,32,-354
"1273","HKE",14.34,36.52,48,-354
"1274","MUT",14.34,36.52,8,-354
"1275","NEP",14.34,36.52,3,-354
"1276","DPS",14.36,36.52,16,-283
"1277","HKE",14.36,36.52,28,-283
"1278","MUT",14.36,36.52,4,-283
"1279","ARS",14.37,36.52,3,-283
"1280","DPS",14.37,36.52,4,-283
"1281","HKE",14.37,36.52,24,-283
"1282","MUT",14.37,36.52,4,-283
"1283","DPS",14.66,36.52,145,-130
"1284","HKE",14.66,36.52,35,-130
"1285","DPS",14.75,36.52,2,-121
"1286","HKE",14.75,36.52,10,-121
"1287","MUT",14.75,36.52,3,-121
"1288","DPS",14.97,36.52,50,-80
"1289","DPS",14.98,36.52,60,-78
"1290","MUT",15,36.52,10,-77
"1291","MUT",15.05,36.52,25,-80
"1292","MUT",15.07,36.52,20,-80
"1293","DPS",15.08,36.52,50,-80
"1294","HKE",15.08,36.52,20,-80
"1295","MUT",15.08,36.52,75,-80
"1296","DPS",15.1,36.52,145,-80
"1297","HKE",15.1,36.52,41,-80
"1298","MUT",15.1,36.52,18,-80
"1299","DPS",15.12,36.52,450,-80
"1300","HKE",15.12,36.52,110,-80
"1301","MUT",15.12,36.52,65,-80
"1302","ARS",15.14,36.52,40,-83
"1303","DPS",15.14,36.52,430,-83
"1304","HKE",15.14,36.52,85,-83
"1305","MUT",15.14,36.52,15,-83
"1306","DPS",15.15,36.52,820,-86
"1307","HKE",15.15,36.52,157,-86
"1308","MUT",15.15,36.52,26,-86
"1310","HKE",15.17,36.52,240,-89
"1311","MUT",15.17,36.52,8,-89
"1312","ARS",15.19,36.52,30,-92
"1314","HKE",15.19,36.52,295,-92
"1315","ARA",15.2,36.52,5,-95
"1316","ARS",15.2,36.52,10,-95
"1317","DPS",15.2,36.52,960,-95
"1318","HKE",15.2,36.52,295,-95
"1319","DPS",15.22,36.52,135,-98
"1320","HKE",15.22,36.52,30,-98
"1321","ARS",15.24,36.52,10,-99
"1322","HKE",15.24,36.52,74,-99
"1323","ARS",15.25,36.52,100,-100
"1324","DPS",15.25,36.52,310,-100
"1325","HKE",15.25,36.52,110,-100
"1330","ARS",13.53,36.53,36,-431
"1331","DPS",13.53,36.53,70,-431
"1332","HKE",13.53,36.53,15,-431
"1333","NEP",13.53,36.53,35,-431
"1334","ARS",13.54,36.53,72,-431
"1335","DPS",13.54,36.53,40,-431
"1336","ARA",13.56,36.53,24,-343
"1337","ARS",13.56,36.53,120,-343
"1338","DPS",13.56,36.53,150,-343
"1339","HKE",13.56,36.53,15,-343
