"","SPECIES","LON","LAT","KG","DEPTH"
"1165","ARS",13.59,36.51,121,-420
"1169","ARS",13.61,36.51,156,-329
"1172","ARS",13.9,36.51,75,-442
"1175","ARS",13.95,36.51,80,-500
"1176","DPS",13.95,36.51,65,-500
"1177","ARS",13.98,36.51,136,-565
"1178","DPS",13.98,36.51,110,-565
"1179","ARS",14,36.51,358,-581
"1180","DPS",14,36.51,317,-581
"1181","NEP",14,36.51,120,-581
"1182","ARS",14.02,36.51,60,-616
"1183","DPS",14.02,36.51,60,-616
"1187","ARS",14.3,36.51,221,-465
"1188","DPS",14.3,36.51,66,-465
"1200","MUT",15.05,36.51,60,-80
"1202","DPS",15.08,36.51,250,-80
"1206","ARA",15.12,36.51,60,-80
"1207","ARS",15.12,36.51,60,-80
"1208","DPS",15.12,36.51,60,-80
"1211","DPS",15.14,36.51,125,-83
"1212","HKE",15.14,36.51,55,-83
"1214","ARS",15.15,36.51,205,-86
"1215","DPS",15.15,36.51,295,-86
"1216","HKE",15.15,36.51,190,-86
"1217","DPS",15.19,36.51,200,-92
"1220","DPS",15.2,36.51,680,-95
"1221","HKE",15.2,36.51,95,-95
"1222","DPS",15.27,36.51,150,-100
"1228","ARS",13.58,36.52,70,-420
"1231","ARS",13.59,36.52,61,-420
"1234","DPS",13.73,36.52,100,-339
"1236","ARS",13.81,36.52,144,-331
"1237","DPS",13.81,36.52,72,-331
"1241","ARS",13.97,36.52,676,-534
"1242","DPS",13.97,36.52,365,-534
"1243","HKE",13.97,36.52,58,-534
"1246","ARS",13.98,36.52,651,-565
"1247","DPS",13.98,36.52,461,-565
"1248","ARS",14,36.52,636,-581
"1249","DPS",14,36.52,108,-581
"1256","ARA",14.24,36.52,200,-766
"1257","ARS",14.24,36.52,212,-766
"1258","DPS",14.24,36.52,284,-766
"1260","ARS",14.29,36.52,700,-531
"1261","DPS",14.29,36.52,299,-531
"1262","HKE",14.29,36.52,184,-531
"1265","ARS",14.3,36.52,91,-465
"1283","DPS",14.66,36.52,145,-130
"1289","DPS",14.98,36.52,60,-78
"1295","MUT",15.08,36.52,75,-80
"1296","DPS",15.1,36.52,145,-80
"1299","DPS",15.12,36.52,450,-80
"1300","HKE",15.12,36.52,110,-80
"1301","MUT",15.12,36.52,65,-80
"1303","DPS",15.14,36.52,430,-83
"1304","HKE",15.14,36.52,85,-83
"1306","DPS",15.15,36.52,820,-86
