"Time","Year","Month","Temp","Chl","w"
1,1987,1,15.1339396499608,-0.144511244131061,6.41734250508026
2,1987,2,14.6146929546836,-0.22089493768986,2.950538411872
3,1987,3,14.4186515726841,-0.30399533598679,5.4646541518443
4,1987,4,15.4559635679521,-0.24689880411514,2.06028721279451
5,1987,5,17.4830751823204,-0.213117621183897,4.80613024412655
6,1987,6,21.2908426003192,-0.2026495855871,8.93290271174827
7,1987,7,24.9328000469255,-0.189469739199378,10.8981977590067
8,1987,8,25.9549694815526,-0.196301713660734,2.63037670715511
9,1987,9,25.6558755210178,-0.188682803872712,3.07688282475603
10,1987,10,23.1090336551601,-0.154222660569061,3.39008219620257
11,1987,11,19.8824481392465,-0.106415251405192,7.48906616384268
12,1987,12,17.2736063839731,-0.0673137135866013,7.36316476715711
13,1988,1,15.8428613291331,-0.149694129546374,5.30079887189655
14,1988,2,15.0852762983932,-0.219766632525927,4.55050650831904
15,1988,3,14.773920706109,-0.263248191619916,4.34255060231923
16,1988,4,16.0260336907531,-0.231493258606918,6.2660699507304
17,1988,5,18.8222531596263,-0.175404698228649,6.21145371191503
18,1988,6,22.0686712715179,-0.182764579731151,7.56368362781935
19,1988,7,25.3500062231569,-0.160402428587916,6.14496005573982
20,1988,8,26.6648062828155,-0.17613722491843,3.24738410190997
21,1988,9,25.0694998228283,-0.201836076705725,4.67240284706367
22,1988,10,22.8501014899921,-0.162919868411624,6.18692740761453
23,1988,11,19.6638230083166,-0.133894684118852,4.14594818659541
24,1988,12,16.7115050354716,-0.142834686540481,-1.72941644054742
25,1989,1,15.1901364180623,-0.211619461529833,-3.9059409370202
26,1989,2,14.691538761141,-0.322367309494853,1.80567815060385
27,1989,3,15.0073064939594,-0.283733687242292,-1.94521066249736
28,1989,4,16.2579748751289,-0.194250843980821,6.02322378954556
29,1989,5,18.6098859854746,-0.205522488917272,3.36365890919089
30,1989,6,21.8718846088177,-0.210904737601525,2.78793871183971
31,1989,7,24.9824870196105,-0.17157859979982,1.34828728279515
32,1989,8,26.2496034600009,-0.167581514596031,-1.74116892149157
33,1989,9,24.8732241473834,-0.196460976042116,-8.7406033133896
34,1989,10,22.0839702216552,-0.194273515578468,-4.7559539590348
35,1989,11,19.6938980604616,-0.0838024858547513,-6.58014822458869
36,1989,12,17.5631982713553,-0.0608267822060772,-7.52491929714751
37,1990,1,16.0536510756748,-0.191430028160379,-2.32043640464288
38,1990,2,15.364722715004,-0.236975356840073,-3.42822170342804
39,1990,3,15.493742726496,-0.326697405991189,-0.969354102888454
40,1990,4,16.3094292206292,-0.204528200595532,-3.33966938065742
41,1990,5,19.0926012572198,-0.23433746029184,-11.97403574683
42,1990,6,22.0908422082707,-0.19924120030545,-8.30925044084132
43,1990,7,24.9951490947459,-0.160928204554585,-1.29744466078021
44,1990,8,25.9873948036035,-0.188274249227928,0.813005648065037
45,1990,9,24.922222571528,-0.185535160562928,-1.37740634570726
46,1990,10,23.2149955342659,-0.152033420811619,-7.08051631382097
47,1990,11,20.3862020884617,-0.0916922647229117,-7.61428307045687
48,1990,12,17.3773495888501,-0.0690965084060514,-11.8705574167847
49,1991,1,15.8653979878003,-0.169620185486684,-18.4862882050683
50,1991,2,14.910074018653,-0.251269755710545,-10.5623802624964
51,1991,3,15.1420829443211,-0.243232825199904,-10.196340463412
52,1991,4,15.8717426038069,-0.203038289835585,-7.26821270033393
53,1991,5,17.4135239392503,-0.174090713643712,-1.53505118294927
54,1991,6,21.1131752232376,-0.192698737759035,1.87540452603626
55,1991,7,24.5384688066431,-0.148464192074257,5.68842191034087
56,1991,8,26.0536518767567,-0.15053958084708,7.78129288564522
57,1991,9,25.4388005761371,-0.184684307398443,13.2849181530515
58,1991,10,23.0298094830565,-0.13365414878446,9.67476381011734
59,1991,11,19.6806476511677,-0.103009993248231,13.1775651762903
60,1991,12,16.8331800716758,-0.134490812184144,9.06433011523667
61,1992,1,15.1647086511638,-0.225980147855631,10.1036343101833
62,1992,2,14.4980596546207,-0.321359883798919,17.1807749044685
63,1992,3,14.4764236693462,-0.34607642384265,18.6916461464149
64,1992,4,15.4791088922481,-0.18746517113762,16.1412313559908
65,1992,5,18.2349084411508,-0.196379211073016,15.5325138031264
66,1992,6,21.3092184734548,-0.169387642750627,12.6933900964113
67,1992,7,24.2274619349291,-0.159696458479001,9.4985812652296
68,1992,8,26.6022996179759,-0.154965300252278,6.76209647356695
69,1992,9,25.0030824534943,-0.177861604781288,4.0511535776522
70,1992,10,22.49216282924,-0.127864294488057,0.817544218282797
71,1992,11,19.8864329779862,-0.0800131747270623,2.52529187423311
72,1992,12,17.1620745133784,-0.0629115332998153,-1.05439495971208
73,1993,1,15.3527128066054,-0.199032600471503,-8.30100563484462
74,1993,2,14.6153817500822,-0.299117236371854,-5.75821176690932
75,1993,3,14.4517631172653,-0.314865566087666,-7.30036857217228
76,1993,4,15.6273959433828,-0.240548012112893,-6.51446833415365
77,1993,5,18.717175110549,-0.175705299072204,-9.37545431379768
78,1993,6,22.5311526206694,-0.202781601258288,-2.38661563794764
79,1993,7,24.2504264463625,-0.161453431401653,-7.3843835502294
80,1993,8,25.9116135673363,-0.169003054549656,-5.27001899959923
81,1993,9,24.681754400587,-0.170333107208703,-3.38466702996163
82,1993,10,22.3008608852084,-0.114730769055386,-3.4086706705999
83,1993,11,19.7140539000896,-0.0973633513911609,-1.59695482666885
84,1993,12,17.1905174857652,-0.0775508552790472,4.70136441564064
85,1994,1,15.6905151587818,-0.100683833904546,1.84134909959154
86,1994,2,14.7953980112276,-0.197882024174572,6.98583708404347
87,1994,3,15.2098952289246,-0.291533274006472,3.20214207370374
88,1994,4,16.0701191851229,-0.217161089706429,2.10467611012435
89,1994,5,19.0156563872561,-0.159372902315165,-3.46933169195076
90,1994,6,22.0976586846274,-0.180045661687963,-4.05032593905377
91,1994,7,25.4885328290281,-0.157653413070236,1.82004210381065
92,1994,8,27.1748781713846,-0.160562396985395,1.38078800554908
93,1994,9,25.8698465649562,-0.174477803059534,3.63681272942908
94,1994,10,23.4733790996077,-0.140309494873183,5.65611305011635
95,1994,11,20.4452497839352,-0.0924698525053509,0.882455482889446
96,1994,12,17.5840862612057,-0.104333453368061,0.536844643684165
97,1995,1,15.5439438094915,-0.157903098000556,1.41351183589754
98,1995,2,15.0570203539069,-0.238789381510553,1.05677795161215
99,1995,3,15.1250984928636,-0.297293435515685,5.5579288053493
100,1995,4,15.8021769407948,-0.262018894609493,-4.6454050035215
101,1995,5,18.3733393835054,-0.190963395534247,-2.14490299611499
102,1995,6,22.3398404108194,-0.207446005955304,-6.27760796855642
103,1995,7,25.5321796812318,-0.168949669290185,-5.08370142525503
104,1995,8,26.7127836633515,-0.162229148298464,2.45189965084133
105,1995,9,24.7064358758704,-0.171344921594251,2.3052356727333
106,1995,10,22.5282904570838,-0.186827837091565,2.3729672231443
107,1995,11,19.490779450072,-0.099895740323928,0.415550193980552
108,1995,12,17.1680081742126,-0.0636417502994557,3.11670372592847
109,1996,1,15.9473188230646,-0.0670181167428356,4.0242264928182
110,1996,2,15.1246620834303,-0.176199099402855,1.5537074074715
111,1996,3,14.8580987471985,-0.277520866560727,-3.60255186309484
112,1996,4,15.8902258507709,-0.23446167913816,-0.184583688488261
113,1996,5,18.8208073927279,-0.146140363473042,1.9301316949078
114,1996,6,22.5394663013851,-0.209698987764298,0.130444201759426
115,1996,7,24.4360356823818,-0.171924596739304,-5.13394792637167
116,1996,8,26.1088901961941,-0.170971866213718,-8.37633503182231
117,1996,9,24.2730061435164,-0.163687454482252,-5.55467517388893
118,1996,10,21.6781021917382,-0.138788608566487,0.065779166728845
119,1996,11,19.3937111716395,-0.0741799246290487,-4.80539018522614
120,1996,12,17.2375791831431,0.00364449614945222,-8.39124499462438
121,1997,1,15.9765552015053,-0.0822567649971961,-3.568929508325
