Time,Year,Month,Temp,Chl
1,1999,1,15.6687602477837,0.0868095104548589
2,1999,2,14.8521957043203,0.104537159839632
3,1999,3,14.9880860440751,0.113384690101263
4,1999,4,15.9791099631779,0.122815364518669
5,1999,5,19.2188313716198,0.156158011340489
6,1999,6,22.6895502473273,0.148368637418027
7,1999,7,25.007275143847,0.13096774192074
8,1999,8,26.4930683445783,0.123393314532125
9,1999,9,25.640148168951,0.122253562915082
10,1999,10,23.4110578740531,0.116885626140256
11,1999,11,20.4509916248554,0.101464725291686
12,1999,12,17.4982579895796,0.0897844610112452
13,2000,1,15.7136734752245,0.086373583080194
14,2000,2,14.9996915168289,0.10161186991713
15,2000,3,15.0276001700437,0.111652810290504
16,2000,4,16.032310619011,0.123894656725418
17,2000,5,19.2952214380804,0.172083506844069
18,2000,6,22.665635421609,0.16136785929929
19,2000,7,24.5963307898309,0.142582334302126
20,2000,8,25.7929314044974,0.129139416381664
21,2000,9,25.0071504743022,0.12498740952646
22,2000,10,22.4388803511385,0.116975030022497
23,2000,11,20.165174259221,0.112165763614853
24,2000,12,17.9406819546452,0.0959009996950467
25,2001,1,16.2616001446916,0.0854138594385674
26,2001,2,15.3759867442079,0.101028844278147
27,2001,3,15.6673813851259,0.104599631743982
28,2001,4,16.408848196616,0.124698832838689
29,2001,5,18.6519518062806,0.155564903553562
30,2001,6,22.0755699495068,0.153916273965063
31,2001,7,24.7411184479477,0.133477554463481
32,2001,8,26.2803750206884,0.126675385856632
33,2001,9,24.9795978842856,0.129764991911072
34,2001,10,23.5621689936598,0.119148958021977
35,2001,11,20.4384524940268,0.102980840269154
36,2001,12,17.2785359282192,0.0876523482776764
37,2002,1,15.5352682971453,0.0869083531368404
38,2002,2,15.238739486807,0.0946877512311198
39,2002,3,15.5330713171769,0.0995324040714666
40,2002,4,16.2742214837741,0.108711648717073
41,2002,5,18.8917379308201,0.157941677570167
42,2002,6,22.6340362895461,0.155824392878122
43,2002,7,25.337826086664,0.131361178580067
44,2002,8,25.952895289596,0.123783182280381
45,2002,9,25.0058268070411,0.120404236131997
46,2002,10,22.5548118070538,0.119235189015064
47,2002,11,20.0947330478624,0.108778626157016
48,2002,12,17.6911217151323,0.0901486722115777
49,2003,1,16.142991263505,0.087858682631171
50,2003,2,15.0138746638893,0.106497298208657
51,2003,3,14.9219037659211,0.112567503417654
52,2003,4,15.7783674561579,0.1157567181049
53,2003,5,19.5111041967857,0.174132200493527
54,2003,6,24.173729867254,0.157894650279582
55,2003,7,26.4084882412163,0.137437766618826
56,2003,8,27.7288676289746,0.128029578450228
57,2003,9,25.3216235092393,0.12552087837578
58,2003,10,22.854093534356,0.117192193517024
59,2003,11,20.1317062749793,0.106601292577757
60,2003,12,17.6764270917581,0.0955238673612462
61,2004,1,15.6229511204936,0.090352108281814
62,2004,2,14.9070556463959,0.108187352648294
63,2004,3,14.8832799001315,0.119340597774012
64,2004,4,15.9041093852968,0.132610984999174
65,2004,5,17.9326229139718,0.166379421511936
66,2004,6,21.876742325437,0.153653793755507
67,2004,7,25.1610534159742,0.135655199689106
68,2004,8,26.1302887661981,0.132378916895148
69,2004,9,24.9621825494082,0.125325468826986
70,2004,10,23.1688068326581,0.11907149632602
71,2004,11,20.6036497957302,0.104496344224155
72,2004,12,17.7422144300713,0.0903374217726454
73,2005,1,15.8858511879182,0.084960508841156
74,2005,2,14.6955587659781,0.105046233853457
75,2005,3,14.7423397366525,0.114872601124915
76,2005,4,15.6997259620494,0.123709867368658
77,2005,5,18.7308639334671,0.172154387228936
78,2005,6,22.5863511768858,0.152416994957336
79,2005,7,25.1474148581932,0.134315670119075
80,2005,8,25.6790155395304,0.130805796652335
81,2005,9,24.8965190197163,0.125922791665195
82,2005,10,22.6145690875532,0.117244331203717
83,2005,11,20.1091333044279,0.109715125695045
